en,fa
(,(
),)
",","،"
.,.
?,؟
A,یک
a few,کمی
a great deal of,یک دنیا
a handful,یک مشت
a la garconne,آلاگارسن
a little,اندکی
a little while later,اندکی بعد
a lot,بمقدار زیاد
a lot of,مقدار زیادی
a section of,قشری از
a while,اندکی
a while ago,چندی قبل
a while later,مدتی بعد
A.D.,میلادی
aba,عبا
abacus,چرکه
Abadan,آبادان
Aban,آبان
abandon,صرفنظر کردن
abandoned,متروکه
abandoned place,متروکه
abandonment,رهاسازی
Abasalt,اباسلط
abase,تحقیر نمودن
abatement,فروکشی
Abazar,اباذر
abbacy,مقام رهبانیت
Abbas,عباس
Abbas Abdi,عباس عبدی
Abbas Agha,عباسآقا
Abbas Ali,عباسعلی
abbatial,خانقاهی
abbey,خانقاه
abbreviate,اقتصار کردن
abbreviation,علامات اختصاری
abc,کتاب الفبا
Abd Hoseyn,عبدحسین
Abdali,عبدعلی
Abdelaziz Hakim,عبداعزیز حکیم
Abdi,عبدی
abdicate,تفویض کردن
abdication,کنارهگیری
Abdol Ali,عبدالعلی
Abdol Hoseyn,عبدالحسین
Abdol Jalil,عبدالجلیل
Abdol Karim,عبدالکریم
Abdol Majid,عبدالمجید
Abdol Malek,عبدالملک
Abdol Mohammad,عبدالمحمد
Abdol Reza,عبدالرضا
Abdol Salam,عبدالسلام
Abdol Vahed,عبدالواحد
Abdolamir,عبدالامیر
Abdolhamid,عبدالحمید
Abdolhasan,عبدالحسن
Abdolkhalegh,عبدالخالق
Abdollah,عبدالله
Abdollah Gol,عبدالله گل
Abdolmalek,عبدالملک
Abdolmehdi,عبدالمهدی
Abdolrahim,عبدالرحیم
Abdolrahman,عبدالرحمان
Abdolrasul,عبدالرسول
abdomen,بطن
abdominal,وریدهی شکمی
abdominous,شکم گنده
abduct,ربودن
abducted,ربودهشده
abductor,آدمدزد
Abdul Ali,عبدالعلی
Abdul Azimi,عبدالعظیمی
Abdul Ghani,عبدالغنی
Abdul Rashid,عبد الرشید
Abdullah,عبدالله
abecedarian,ابجدآموز
Abel,هابیل
aberration,انحراف
abeyance,بی تکلیفی
abeyant,بی تکلیف
abiding,وفا کننده
ability,استطاعت
abject,خوار و زار
abjuration,سوگند شکنی
abjure,رافضی شدن
ablactation,شیرواگیران
ablative,مفعول منه
ablaze,افروخته
able,توانا
able-minded,باکله
abloom,پر شکوفه
ablution,آبدست
ablution before prayer,دست نماز
ablution with earth,تیمم
abnegate,بخود حرام کردن
abnegation,کف نفس
abnegator,منکر
abnormal,غیر عادی
abnormalcy,نا هنجاری
abnormality,نابههنجاری
abode,بودباش
Abolfath,ابوالفتح
Abolfazl,ابوالفضل
Abolghasem,ابوالقاسم
Abolhasan,ابوالحسن
abolish,اازمیان بردن
abolished,موقوف
abolished customs,رسوم مسوخه
abolition,الغا مجازات
abominable,مکروه
abominate,مکروه دانستن
abomination,عمل شنیع
abonne,وجهاشتراک
aboriginal,سکنه اولیه
aborigine,گیاه بومی
abort,نارس ماندن
aborted,ساقط
abortifacient,سقط جنینی
abortion,عدم تکامل
abortion causing,بچهانداز
abortive,عقیم
abound,بوفور یافت شدن
About,در حدود
about face,جهت دیگر
about this,در ین باره
