en,es,de,fa,ar
<0> <1>,<0> <1>,<0> <1>,<1> <0>,<1> <0>
<0> are as the <1>:,<0> son como la <1>:,<0> sind wie die <1>:,<0> به شرح <1> می باشد:,<0> هي مثل <1>:
<0> <1> <2>!,¡El <0> se <1> <2>!,Die <0> wurde <1> <2>!,<0> مورد نظر <2> <1> شد!,تم <1> على <0> <2>!
<0> is <1> <2>!,¡El <0> se <1> <2>!,Die <0> wurde <1> <2>!,<0> مورد نظر <2> <1> شد!,تم <1> على <0> <2>!
This <0> is <1>!,¡El <0> se <1>!,Die <0> wurde <1>!,<0> مورد نظر <1> شد!,تم <1> على <0> بنجاح!
The <0> is <1>!,¡El <0> se <1>!,Die <0> wurde <1>!,<0> مورد نظر <1> شد!,تم <1> على <0> بنجاح!
Can <0> <1>?,¿Puede <0> <1>?,Kan <0> <1>?,آیا <0> می‌تواند <1>؟,هل يمكن لـ <0> أن <1>؟
<0> has been <1>!,¡El <0> ha sido <1>!,<0> is <1> geworden!,<0> تاکنون <1> شده است!,لقد تم <1> لـ <0>!
Please <0> the <1>!,¡Por favor <0> el <1>!,Gelieve de <1> te <0>!,لطفاً <1> را <0> کنید!,يرجى <0> الـ <1>!
<0> was not <1>!,¡El <0> no fue <1>!,<0> was niet <1>!,<0> هرگز <1> نشد!,لم يتم <1> لـ <0>!
Is <0> <1>?,¿Está <0> <1>?,Is <0> <1>?,آیا <0> <1> است؟,هل <0> هو <1>؟
<0> must <1> <2>!,¡El <0> debe <1> <2>!,<0> moet <1> <2>!,<0> باید <1> <2> کند!,يجب على <0> أن <1> <2>!
<0> will <1> <2>!,¡El <0> va a <1> <2>!,<0> zal <1> <2>!,<0> خواهد <1> <2>!,سوف يقوم <0> بـ <1> <2>!
<0> can <1> <2>!,¡El <0> puede <1> <2>!,<0> kan <1> <2>!,<0> می‌تواند <1> <2> کند!,يمكن لـ <0> أن <1> <2>!
<0> should <1> <2>!,¡El <0> debería <1> <2>!,<0> zou moeten <1> <2>!,<0> باید <1> <2> کند!,ينبغي لـ <0> أن <1> <2>!
<0> did not <1>!,¡El <0> no <1>!,<0> heeft niet <1>!,<0> هرگز <1> نکرد!,لم يقم <0> بـ <1>!
Do not <0>!,¡No <0>!,Niet <0>!,<0> نکن!,لا تفعل <0>!
Let’s <0> <1>!,¡Vamos a <0> <1>!,Laten we <0> <1>!,بیایید <0> <1> کنیم!,دعونا <0> <1>!
Why did <0> <1>?,¿Por qué <0> <1>?,Waarom heeft <0> <1>?,چرا <0> <1> کرد؟,لماذا <0> <1>؟
How can <0> <1>?,¿Cómo puede <0> <1>?,Hoe kan <0> <1>?,چگونه <0> می‌تواند <1>؟,كيف يمكن لـ <0> أن <1>؟
Where is the <0>?,¿Dónde está el <0>?,Waar is de <0>?,<0> کجاست؟,أين <0>؟
When will <0> <1>?,¿Cuándo <0> va a <1>?,Wanneer zal <0> <1>?,چه زمانی <0> خواهد <1>؟,متى سيقوم <0> بـ <1>؟
Who <1> the <0>?,¿Quién <1> el <0>?,Wie heeft de <0> <1>?,چه کسی <0> را <1> کرد؟,من <1> الـ <0>؟
<0> was <1> by <2>!,¡El <0> fue <1> por <2>!,<0> werd <1> door <2>!,<0> توسط <2> <1> شد!,تم <1> الـ <0> بواسطة <2>!
"If <0> <1>, then <2>!","Si <0> <1>, entonces <2>!","Als <0> <1>, dan <2>!",اگر <0> <1>، آنگاه <2>!,إذا <0> <1>، فإن <2>!
"Although <0> <1>, <2>!","Aunque <0> <1>, <2>!","Hoewel <0> <1>, <2>!",اگرچه <0> <1>، اما <2>!,رغم أن <0> <1>، فإن <2>!
