en,fa
(filtered from _MAX_ total entries),(انتخاب‌شده از میان کل _MAX_ مورد)
"We are a team has considered the idea as a small start-up project and has developed it through its financial and human resources. The start-up has gathered people from the professionals around a table. Our products are now ready to be presented to our dear users, and we are impatiently waiting to receive your comments.",ما تیمی هستیم که این ایده را یک پروژه کوچک استارت آپی در نظر گرفته و آن را از طریق منابع مالی و انسانی خود توسعه داده است. این استارت آپ افراد حرفه ای را دور یک میز جمع کرده است. محصولات ما هم اکنون آماده ارائه به کاربران عزیز می‌باشد و بی صبرانه منتظر دریافت نظرات شما هستیم.
"A special framework for web development called <0> (a sequence-based framework) has been developed to implement safe, flexible, fast, and strong pure websites based on that, since <1><2><3><4> so far.","یک چارچوب ویژه متن باز توسعه وب به نام <0> (یک چارچوب مبتنی بر توالی) برای پیاده سازی وب سایت‌های خالص، ایمن، انعطاف پذیر، سریع و قوی، توسعه یافته از سال <1><2><3><4> "
: activate to sort column ascending,: فعال برای مرتب  کردن موارد بصورت صعودی
: activate to sort column descending,: فعال برای مرتب  کردن موارد بصورت نزولی
<0>,<0>
"<0>
English","<0>
English"
"<0>
فارسی","<0>
فارسی"
<0> greater than limitation,<0> بیشتر از حدمجاز
<0> lesser than limitation,<0> کمتر از حدمجاز
<0><1> Add a new Draft,<0><1> افزودن یک سند جدید
" y\_::$Configeived a <0> mark due to the this work! Here added <1> marks to each person of your units.,Fortunately", you received a <0> mark due to the this work!
COMPL\_::$Configکمیل‌شده‌ها,
"A goldsmith management system, is special for an aseqbase website...","سیستم مدیریت کارگاه‌های طلاسازی، مبتنی بر بستر چارچوب وب سایت asqbase ..."
A phone number with your national code,شماره تلفن همراه با پیش شماره
A Special Goldsmith Management System,یک سیستم مدیریت طلاسازی ویژه
A Special Integrated Management System,یک سامانه یکپارچه مدیریت ویژه
A Special Integrated Resources Management System,یک سامانه یکپارچه مدیریت منابع ویژه
A unique name exclusive for this profile,یک نام منحصر به فرد پروفایل
About,درباره
About - GMS,درباره - GMS
Access,دسترسی
Account,حساب
Account Activation Request,درخواست فعالسازی حساب
Account Recovery,بازیابی حساب کاربری
Account Recovery Request,درخواست بازیابی حساب کاربری
Activate auto filling data in some fields,پر گردن خودکار داده در بعضی قسمتهای سامانه
Activated,فعال
Add ,اضافه کردن
Add a new Draft,افزودن یک سند جدید
Add Impact,تاثیر اضافه
Add your first item <0><1>,اولین مورد خود را اضافه کنید <0><1>
Addbox,صندوق افزوده‌ها
ADDED,اضافه‌شده
Added Drafts Report,سند‌های افزوده
Added Drafts Report,گزارش سند‌های افزوده
Added Statements,گردش افزوده‌ها
Addeds,افزوده‌ها
"Additional Children of the object
",موارد اضافه‌شده به شی
Address,نشانی
Advertisement,تبلیغات
