en,es,de,fa,ar
A,Uno,Eins,یک,واحد
A Few,Un poco,Ein wenig,کمی,قليلا
A Handful,Un puñado,Eine Handvoll,یک مشت,حفنة
A Little,Un poco,Ein wenig,اندکی,قليلا
A Lot,Mucho,Eine Menge,بمقدار زیاد,كثيراً
A While,Un poco,Ein wenig,اندکی,قليلا
A.D.,gregoriano,Gregorian,میلادی,الميلادي
Aba,Abaya,Abaya,عبا,عباية
Abacus,Hacia,Etwa,چرکه,حوالي
Abadan,Abadán,Abadan,آبادان,عبادان
Aban,Noviembre,November,آبان,نوفمبر
Abandon,Ignorar,Ignorieren,صرفنظر کردن,لتجاهل
Abandoned,Abandonado,Verlassen,متروکه,متروك
Abandonment,Liberar,Freigeben,رهاسازی,يطلق
Abasalt,Abasult,Abasult,اباسلط,أباسولت
Abase,Humillar,Demütigen,تحقیر نمودن,لإذلال
Abatement,Recesión,Rezession,فروکشی,ركود
Abazar,Abazar,Abazar,اباذر,أبازار
Abbacy,Estatus monástico,Klosterstatus,مقام رهبانیت,الوضع الرهباني
Abbatial,Khanqah,Khanqah,خانقاهی,خانقاه
Abbey,Khanqah,Khanqah,خانقاه,خانقاه
Abbreviate,Para abreviar,Abkürzen,اقتصار کردن,للاختصار
Abbreviation,Abreviaturas,Abkürzungen,علامات اختصاری,الاختصارات
Abc,Libro del alfabeto,Alphabetbuch,کتاب الفبا,كتاب الأبجدية
Abdicate,Delegar,Delegieren,تفویض کردن,مندوب
Abdication,Retiro,Rückzug,کنارهگیری,انسحاب
About,Acerca de,ÜBER,درباره,حول
ACADEMY,Academia,AKADEMIE,آکادمی,الأكاديمية
Access,Acceso,Zugang,دسترسی,الوصول
Account,Cuenta,Konto,حساب,حساب
Activated,Activo,Aktiv,فعال,نشيط
Addbox,Cuadro de complementos,Add-ons-Box,صندوق افزوده ها,صندوق الإضافات
ADDED,Agregado,Hinzugefügt,اضافه شده,تمت الإضافة
Addeds,Adiciones,Ergänzungen,افزوده ها,إضافات
Address,DIRECCIÓN,Adresse,نشانی,عنوان
Advertisement,Anuncio,Werbung,تبلیغات,إعلان
Amjad,Amjad,Amjad,امجد,أمجد
Ammeter,Amperímetro,Amperemeter,آمپرسنج,الأميتر
Ammonia,Amoníaco,Ammoniak,آمونیاک,الأمونيا
Ammoniac,Amoníaco,Ammoniak,آمونیاکی,الأمونيا
Ammunitions,Munición,Munition,مهمات,الذخيرة
Amnesia,Olvido,Vergesslichkeit,نسیان,النسيان
Amnesty,Conceder amnistía,Amnestie gewähren,عفو عمومی کردن,منح العفو
Amnion,Dentro de la cortina,Innerhalb des Vorhangs,درون پرده,داخل الستارة
Amoeboid,Como una ameba,Wie eine Amöbe,مانند آمیب,مثل الأميبا
Amok,Volviéndose loco,Verrückt werden,درحال جنون,مجنون
Among,Entre,Unter,در میان,ضمن
Amonia,Amoníaco,Ammoniak,امونیاک,الأمونيا
Amorist,Amante de la profesión,Liebhaber des Berufs,عاشق پیشه,عاشق المهنة
Amorous,romance,Romantik,عاشقانه,الرومانسية
Amorously,romance,Romantik,عاشقانه,الرومانسية
Amorphous,No cristalino,Nicht kristallin,غیر متبلور,غير متبلور
Amortization, Depreciado, Abgeschrieben,"مستهلک	", مُستهلك
Amortized,Depreciado,Abgeschrieben,مستهلک,مُستهلك
Amount,Cantidad,Menge,مبلغ,كمية
Amounts,Cantidades,Beträge,مبالغ,المبالغ
Amperage,Miliamperio,Milliampere,میلیآمپر,ملي أمبير
Ampere,Amperio,Ampere,آمپر,أمبير
Amphetamine,Anfetamina,Amphetamin,آمفتامین,الأمفيتامين
Amphibian,Anfibio,Amphibie,جانور دوزیست,البرمائيات
Amphibology,Espada de doble filo,Zweischneidiges Schwert,سخن دوپهلو,سيف ذو حدين
Ampoule,Jeringuilla,Spritze,سرنگ,محقنة
Amputate, Amputación, Amputation,"قطع اندام	", بتر
Amran,Civil,Bürgerlich,عمران,مدني
Amrollah,Amrullah,Amrullah,امرلله,أمر الله
Amsterdam,Ámsterdam,Amsterdam,آمستردام,أمستردام
Amuse,Para entretener,Unterhalten,تفریح دادن,للترفيه
Amusement,Engaño,Täuschung,فریب خوردگی,الخداع
An,Uno,Eins,یک,واحد
Ana,Ana,Anna,آنا,آنا
Anachronism,Inoportunidad,Unpünktlichkeit,نابهنگامی,عدم التوقيت
Anaclitic,Confiando en,Verlassen auf,متکی به,الاعتماد على
Anacreontic,poesía lírica,Lyrische Poesie,شعر بزمی,الشعر الغنائي
Anadem,Collar,Halskette,گردن بند,قلادة
APPEARANCES,Apariencia,Aussehen,ظاهر,مظهر
Apply,Aplicar,Anwenden,اعمال,يتقدم
Archived,Archivado,Archiviert,بایگانی شده,مؤرشفة
ARTICLE,Artículo,ARTIKEL,مقاله,مقالة
Attaches,Archivos adjuntos,Anlagen,ضمائم,المرفقات
Banking,Bancarias,Bankgeschäfte,بانکی,المصرفية
Authenticate,Autenticar,Authentifizieren,احراز هویت,المصادقة
Authenticating,Autenticar,Authentifizieren,احراز هویت کردن,المصادقة
Authentication,Autenticar,Authentifizieren,احراز هویت,المصادقة
Author,Autor,Autor,نویسنده,المؤلف
Average,Promedio,Durchschnitt,میانگین,متوسط
Back,Devolver,Zurückkehren,بازگشت,يعود
Ban,Bandera,Banner,بنر,اللافتة
BASE,Base,BASIS,پایه,أساسي
Begin,Comenzar,Beginnen,آغاز,يبدأ
Bill,Factura,Rechnung,صورتحساب,فاتورة
Bio,Biografía,Bio,بیوگرافی,السيرة الذاتية
Blocked,Obstruido,Blockiert,مسدود,محظور
Box,Financiar,Fonds,صندوق,تمويل
Cancel,Cancelar,Stornieren,لغو,يلغي
