en,es,de,fa,ar
A,Uno,Eins,یک,واحد
A Few,Un poco,Ein wenig,کمی,قليلا
A Great Deal Of,Un mundo,Eine Welt,یک دنیا,عالم واحد
A Handful,Un puñado,Eine Handvoll,یک مشت,حفنة
A La Garconne,Alagarcén,Alagarcen,آلاگارسن,ألاغارسين
A Little,Un poco,Ein wenig,اندکی,قليلا
A Little While Later,Un poco más tarde,Etwas später,اندکی بعد,بعد قليل
A Lot,Mucho,Eine Menge,بمقدار زیاد,كثيراً
A Lot Of,Mucho,Eine Menge,مقدار زیادی,كثيراً
A Section Of,Una capa de,Eine Schicht aus,قشری از,طبقة من
A While,Un poco,Ein wenig,اندکی,قليلا
A While Ago,Hace un tiempo,Vor einiger Zeit,چندی قبل,منذ بعض الوقت
A While Later,Algún tiempo después,Einige Zeit später,مدتی بعد,بعد مرور بعض الوقت
A.D.,gregoriano,Gregorian,میلادی,الميلادي
Aba,Abaya,Abaya,عبا,عباية
Abacus,Hacia,Etwa,چرکه,حوالي
Abadan,Abadán,Abadan,آبادان,عبادان
Aban,Noviembre,November,آبان,نوفمبر
Abandon,Ignorar,Ignorieren,صرفنظر کردن,لتجاهل
Abandoned,Abandonado,Verlassen,متروکه,متروك
Abandoned Place,Abandonado,Verlassen,متروکه,متروك
Abandonment,Liberar,Freigeben,رهاسازی,يطلق
Abasalt,Abasult,Abasult,اباسلط,أباسولت
Abase,Humillar,Demütigen,تحقیر نمودن,لإذلال
Abatement,Recesión,Rezession,فروکشی,ركود
Abazar,Abazar,Abazar,اباذر,أبازار
Abbacy,Estatus monástico,Klosterstatus,مقام رهبانیت,الوضع الرهباني
Abbatial,Khanqah,Khanqah,خانقاهی,خانقاه
Abbey,Khanqah,Khanqah,خانقاه,خانقاه
Abbreviate,Para abreviar,Abkürzen,اقتصار کردن,للاختصار
Abbreviation,Abreviaturas,Abkürzungen,علامات اختصاری,الاختصارات
Abc,Libro del alfabeto,Alphabetbuch,کتاب الفبا,كتاب الأبجدية
Abdicate,Delegar,Delegieren,تفویض کردن,مندوب
Abdication,Retiro,Rückzug,کنارهگیری,انسحاب
Amjad,Amjad,Amjad,امجد,أمجد
Ammeter,Amperímetro,Amperemeter,آمپرسنج,الأميتر
Ammonia,Amoníaco,Ammoniak,آمونیاک,الأمونيا
Ammoniac,Amoníaco,Ammoniak,آمونیاکی,الأمونيا
Ammonium Chloride,Nashadar,Nashadar,نشادر,نشادار
Ammunition Depot,Depósito de municiones,Munitionsdepot,انبار مهمات,مستودع الذخيرة
Ammunitions,Munición,Munition,مهمات,الذخيرة
Amnesia,Olvido,Vergesslichkeit,نسیان,النسيان
Amnesty,Conceder amnistía,Amnestie gewähren,عفو عمومی کردن,منح العفو
Amnesty International,Amnistía Internacional,Amnesty International,عفو بین الملل,منظمة العفو الدولية
Amnion,Dentro de la cortina,Innerhalb des Vorhangs,درون پرده,داخل الستارة
Amoeboid,Como una ameba,Wie eine Amöbe,مانند آمیب,مثل الأميبا
Amok,Volviéndose loco,Verrückt werden,درحال جنون,مجنون
Among,Entre,Unter,در میان,ضمن
Amonia,Amoníaco,Ammoniak,امونیاک,الأمونيا
Amorist,Amante de la profesión,Liebhaber des Berufs,عاشق پیشه,عاشق المهنة
Amorous,romance,Romantik,عاشقانه,الرومانسية
Amorous Look,Mirada romántica,Romantischer Look,نگاه عاشقانه,مظهر رومانسي
Amorously,romance,Romantik,عاشقانه,الرومانسية
Amorphous,No cristalino,Nicht kristallin,غیر متبلور,غير متبلور
Amortization, Depreciado, Abgeschrieben,"مستهلک	", مُستهلك
Amortization Of Capital,Depreciación del capital,Kapitalabschreibung,استهلاک سرمیه,إهلاك رأس المال
Amortization Of Debt,Amortización de deuda,Schuldentilgung,استهلاک دین,استهلاك الديون
Amortized,Depreciado,Abgeschrieben,مستهلک,مُستهلك
Amos Nikhs,Amós Nitsch,Amos Nitsch,آموس نیچ,عاموس نيتش
Amount,Cantidad,Menge,مقدار,كمية
Amount To, Adulto, Erwachsene,"بالغ	", بالغ
Amounting To,Encima,Über,بالغ بر,زيادة
Amounts,Valores,Werte,مقادیر,قيم
Amperage,Miliamperio,Milliampere,میلیآمپر,ملي أمبير
Ampere,Amperio,Ampere,آمپر,أمبير
Amphetamine,Anfetamina,Amphetamin,آمفتامین,الأمفيتامين
Amphibian,Anfibio,Amphibie,جانور دوزیست,البرمائيات
Amphibology,Espada de doble filo,Zweischneidiges Schwert,سخن دوپهلو,سيف ذو حدين
Ampoule,Jeringuilla,Spritze,سرنگ,محقنة
Amputate, Amputación, Amputation,"قطع اندام	", بتر
Amran,Civil,Bürgerlich,عمران,مدني
Amrollah,Amrullah,Amrullah,امرلله,أمر الله
Amsterdam,Ámsterdam,Amsterdam,آمستردام,أمستردام
Amuse,Para entretener,Unterhalten,تفریح دادن,للترفيه
Amusement,Engaño,Täuschung,فریب خوردگی,الخداع
Amusement Park,Complejo,Resort,تفریحگاه,ملجأ
An,Uno,Eins,یک,واحد
Ana,Ana,Anna,آنا,آنا
Ana Novak,Anna Novak,Anna Novak,آنا نوواک,آنا نوفاك
Anachronism,Inoportunidad,Unpünktlichkeit,نابهنگامی,عدم التوقيت
Anaclitic,Confiando en,Verlassen auf,متکی به,الاعتماد على
Anacreontic,poesía lírica,Lyrische Poesie,شعر بزمی,الشعر الغنائي
Anadem,Collar,Halskette,گردن بند,قلادة
Shark,Tiburón,Hai,کوسه ماهی,سمك القرش
Sharon,Sharon,Sharon,شارون,شارون
Sharp,Escozor,Stechen,نیشدار,لاذع
Sharp End,Afilado,Scharf,تیزه,حاد
Sharp Eyed,Ojo agudo,Scharfäugig,تیز چشم,حاد البصر
