x,en,es,de,fa,ar
,"{'Direction':'ltr', 'Title':'English'}","{'Direction':'ltr', 'Title':'Spanish'}","{'Direction':'ltr', 'Title':'Deutsch'}","{'Direction':'rtl', 'Title':'فارسی'}","{'Direction':'rtl', 'Title':'العربیه'}"
"A special framework for web development called <0> (a sequence-based framework) has been developed to implement safe, flexible, fast, and strong pure websites based on that, since <1><2><3><4> so far.","A special framework for web development called <0> (a sequence-based framework) has been developed to implement safe, flexible, fast, and strong pure websites based on that, since <1><2><3><4> so far.","Se ha desarrollado un framework especial para el desarrollo web llamado <0> (un framework basado en secuencias) para implementar sitios web puros seguros, flexibles, rápidos y robustos, desde <1><2><3><4> hasta la fecha.","Um sichere, flexible, schnelle und robuste Websites auf dieser Basis zu implementieren, wurde seit <1><2><3><4> ein spezielles Framework für die Webentwicklung namens <0> (ein sequenzbasiertes Framework) entwickelt.","یک چارچوب ویژه برای توسعه وب به نام <0> (یک چارچوب مبتنی بر توالی) برای پیاده سازی وب سایت های خالص ایمن، انعطاف پذیر، سریع و قوی بر اساس آن، از زمان <1><2><3><4> تاکنون توسعه داده شده است.","تم تطوير إطار عمل خاص لتطوير الويب يسمى <0> (إطار عمل يعتمد على التسلسل) لتنفيذ مواقع ويب نقية آمنة ومرنة وسريعة وقوية بناءً على ذلك، منذ <1><2><3><4> حتى الآن."
<,,,,>,>
"< Previous Step","< Previous Step","< Previous Step","< Vorheriger Schritt","< مرحله قبل","< الخطوة السابقة"
"<0><1> AUTOADVICE","<0><1> AUTOADVICE","<0><1> Autoaprendizaje","<0><1> SELBSTBEDIENUNG","<0><1> خودآموزی","<0><1> التعلم الذاتي"
"<0><1> Client","<0><1> Client","<0><1> Cliente","<0><1> Kunde","<0><1> مشتری","<0><1> العميل"
"<0><1> CONSULTANCY","<0><1> CONSULTANCY","<0><1> Consultoría","<0><1> BERATUNG","<0><1> مشاوره","<0><1> الاستشارات"
"<0><1> FORUM","<0><1> FORUM","<0><1> Foro","<0><1> FORUM","<0><1> انجمن","<0><1> المنتدى"
"<0><1> Office","<0><1> Office","<0><1> Oficina","<0><1> Büro","<0><1> دفتر",<0><1>المكتب
"<0>a seq<1>uence-<0>base<1>d framework","<0>a seq<1>uence-<0>base<1>d framework","un marco basado en secuencias","ein sequenzbasiertes Framework","چارچوب توسعه برپایه دنباله‌ها","إطار عمل قائم على التسلسل"
<0>ea<1><2>d<2><3><0>a<4><5><3>d<6><5><6><7><6><7><2>fac<8><1>b<9><2>ca<9>,<0>ea<1><2>d<2><3><0>a<4><5><3>d<6><5><6><7><6><7><2>fac<8><1>b<9><2>ca<9>,<0>ea<1><2>d<2><3><0>a<4><5><3>d<6><5><6><7><6><7><2>fac<8><1>b<9><2>ca<9>,<0>ea<1><2>d<2><3><0>a<4><5><3>d<6><5><6><7><6><7><2>fac<8><1>b<9><2>ca<9>,<0>ea<1><2>d<2><3><0>a<4><5><3>d<6><5><6><7><6><7><2>fac<8><1>b<9><2>ca<9>,<0>ع<1><2>د<2><3><0>أ<4><5><3>د<6><5><6><7><6><7><2>fac<8><1>ب<9><2>ca<9>
>,,,,<,<
A,A,Uno,Eins,یک,واحد
"A Few","A Few","Un poco","Ein wenig",کمی,قليلا
