en,es,de,fa,ar
About - GMS,Acerca de - GMS,Über uns - GMS,درباره - GMS,حول - GMS
Account Activation Request,Solicitud de activación de cuenta,Kontoaktivierungsanfrage,درخواست فعالسازی حساب,طلب تفعيل الحساب
Account Recovery Request,Solicitud de recuperación de cuenta,Anfrage zur Kontowiederherstellung,درخواست بازیابی حساب کاربری,طلب استرداد الحساب
Added Drafts Report,Documentos añadidos,Hinzugefügte Dokumente,سند های افزوده,المستندات المضافة
Back to Home,Regresar a la página de inicio,Zurück zur Startseite,بازگشت به صفحه اصلی,العودة إلى الصفحة الرئيسية
Changed Drafts Report,Informe de remesas modificadas,Meldung geänderter Überweisungen,گزارش حواله های تغییریافته,تقرير عن التحويلات المتغيرة
COMPL\_::$Configکمیل شده ها,,,,
Completed Drafts Report,Informe del documento de salida,Ausgabedokumentbericht,گزارش سند های خروجی,تقرير مستند الإخراج
Current Drafts Report,Informe sobre documentos en trámite,Bericht über in Bearbeitung befindliche Dokumente,گزارش سند های درحال پردازش,تقرير عن الوثائق قيد التنفيذ
Damaged By Person,Defecto en la persona,Defekt in der Person,نقص در  شخص,عيب في الشخص
Damaged By Product,Defecto del producto,Produktfehler,نقص در محصول,عيب المنتج
Damaged By Tool,Defecto en la herramienta,Defekt im Werkzeug,نقص در  ابزار,عيب في الأداة
Damaged By Unit,Defecto en la unidad,Defekt im Gerät,نقص در  واحد,عيب في الوحدة
Damaged By Vocation,Falla de misión,Missionsfehler,نقص در  ماموریت ,عيب المهمة
Default From Time,Fecha de inicio predeterminada,Standard-Ab-Datum,پیشفرض از تاریخ,افتراضيًا من التاريخ
Default To Time,Fecha predeterminada,Standarddatum,پیشفرض تا تاریخ,تاريخ افتراضي
Edit - ERP,Editar - ERP,Bearbeiten – ERP,ویرایش - ای آر پی,تعديل - تخطيط موارد المؤسسات
Edit - GMS,Editar - GMS,Bearbeiten - GMS,ویرایش - GMS,تعديل - GMS
Edit Added Drafts,Administrar documentos añadidos,Hinzugefügte Dokumente verwalten,مدیریت سند های افزوده,إدارة المستندات المضافة
Edit Changed Drafts,Remesas modificadas,Modifizierte Überweisungen,حواله های تغییریافته,التحويلات المعدلة
Edit Completed Drafts,Gestión de documentos de salida,Verwalten von Ausgabedokumenten,مدیریت سند های خروجی,إدارة مستندات الإخراج
Edit Current Drafts,Gestión de documentos en curso,Verwalten von Dokumenten in Bearbeitung,مدیریت سند های درحال پردازش,إدارة المستندات قيد التقدم
Edit Failed Drafts,Gestión de documentos fallidos,Verwalten fehlgeschlagener Dokumente,مدیریت سند های ناموفق,إدارة المستندات الفاشلة
Edit Input Drafts,Gestión de documentos entrantes,Eingehende Dokumentenverwaltung,مدیریت سند های ورودی,إدارة المستندات الواردة
Edit Output Drafts,Gestión de documentos de salida,Verwalten von Ausgabedokumenten,مدیریت سند های خروجی,إدارة مستندات الإخراج
Edit Partial Drafts,Gestión de documentos completados,Verwaltung ausgefüllter Dokumente,مدیریت سند های تکمیل شده,إدارة الوثائق المكتملة
Edit Poled Drafts,Edición de remesas pivote,Pivot-Überweisungen bearbeiten,ویرایش حواله های محوری,تحرير التحويلات المحورية
Edit Registered Drafts,Edición de documentos de registro,Bearbeiten von Registrierungsdokumenten,ویرایش اسناد ثبتی,تحرير مستندات التسجيل
Edit Stock Drafts,Editar remesas existentes,Vorhandene Überweisungen bearbeiten,ویرایش حواله های موجود,تعديل التحويلات المالية الحالية
Edit Subtracted Drafts,Gestión de documentos deficitarios,Defizit-Dokumentenmanagement,مدیریت سند های کسری,إدارة مستندات العجز
Error Symbol Path,Ruta del símbolo de error,Fehlersymbolpfad,مسیر نماد خطا,مسار رمز الخطأ
Failed Drafts Report,Informar documentos fallidos,Fehlerhafte Dokumente melden,گزارش سند های ناموفق,الإبلاغ عن المستندات الفاشلة
Forgot your password?,¿Olvidaste tu contraseña?,Passwort vergessen?,رمز عبور خود را فراموش کرده اید؟,نسيت كلمة السر؟
Full Banner Path,Ruta completa del banner,Vollständiger Bannerpfad,مسیر بنر کامل,مسار اللافتة الكامل
Full Logo Path,Ruta completa del logotipo,Vollständiger Logopfad,مسیر لوگو کامل,مسار الشعار الكامل
Full postal address,Dirección postal completa,Vollständige Postanschrift,آدرس پستی کامل,العنوان البريدي الكامل
Goldsmith Management System,Sistema de Gestión de Orfebrería,Goldschmiede-Managementsystem,سیستم مدیریت طلاسازی,نظام إدارة صياغة الذهب
Has Count Error,Sujeto a discrepancia en número,Vorbehaltlich Zahlenabweichungen,مشمول مغایرت در تعداد,مع مراعاة الاختلاف في العدد
