en,es,de,fa,ar
A,A,A,الف,أ
A Few,Algunos,Ein Paar,چند تا,عدد قليل
A Great Deal Of,Una Gran Cantidad De,Viel,مقدار زیادی از,قدر كبير من
A Handful,Un Puñado,Eine Handvoll,یک مشت,حفنة
A La Garconne,A La Garconne,À La Garconne,آ لا گارکون,على طريقة الجاركون
A Little,Un Poco,Ein Wenig,کمی,قليلا
A Little While Later,Un Poco Más Tarde,Etwas Später,کمی بعد,بعد فترة قصيرة
A Lot,Mucho,Eine Menge,خیلی زیاد,كثيراً
A Lot Of,Mucho,Viel,بسیاری از,الكثير من
A Section Of,Una Sección De,Ein Abschnitt Von,یک بخش از,قسم من
A While,Un Rato,Eine Weile,مدتی,فترة
A While Ago,Hace Un Tiempo,Vor Einer Weile,چندی پیش,منذ فترة
A While Later,Un Rato Después,Eine Weile Später,مدتی بعد,بعد فترة من الوقت
A.D.,ANUNCIO,ANZEIGE,آگهی,إعلان
Aba,Aba,Aba,آبا,أبا
Abacus,Ábaco,Abakus,چرتکه,العداد
Abadan,Abadán,Abadan,آبادان,عبادان
Aban,Aban,Aban,آبان,أبان
Abandon,Abandonar,Aufgeben,رها کردن,يتخلى عن
Abandoned,Abandonado,Verlassen,رها شده,متروك
Abandoned Place,Lugar Abandonado,Verlassener Ort,مکان متروکه,مكان مهجور
Abandonment,Abandono,Aufgabe,رها کردن,التخلي
Abasalt,Abasalto,Abasalt,آباسالت,أبزلت
Abase,Humillar,Erniedrigen,خوار کردن.,حقر
Abatement,Disminución,Minderung,کاهش,التخفيف
Abazar,Abazar,Abazar,اباذر,أبازار
Abbacy,Abadía,Abtei,آبابا,دير
Abbas,Abbas,Abbas,عباس,عباس
Abbas Abdi,Abbas Abdi,Abbas Abdi,عباس عبدی,عباس عبدي
Abbas Agha,Abbas Agha,Abbas Agha,عباس آقا,عباس آغا
Abbas Ali,Abbas Ali,Abbas Ali,عباس علی,عباس علي
Abbatial,Abacial,Abt,آباتیال,دير
Abbey,Abadía,Abtei,صومعه,دير
Abbreviate,Abreviar,Abkürzen,مختصر کردن,اختصر
Abbreviation,Abreviatura,Abkürzung,مخفف,اختصار
Abc,Abecedario,ABC,الفبای,أ ب ج
Abd Hoseyn,Abd Hoseyn,Abd Hoseyn,عبدالحسین,عبد الحسين
Abdali,Abdalí,Abdali,ابدالی,العبدلي
Abdelaziz Hakim,Abdelaziz Hakim,Abdelaziz Hakim,عبدالعزیز حکیم,عبد العزيز الحكيم
Abdi,Abdi,Abdi,عبدی,عبدي
Abdicate,Abdicar,Abdanken,کناره گیری کردن,التنازل عن العرش
Abdication,Abdicación,Abdankung,کناره گیری,التنازل عن العرش
Abdol Ali,Abdullah Ali,Abdol Ali,عبدالعلی,عبد علي
Abdol Hoseyn,Abdol Hoseyn,Abdol Hoseyn,عبدالحسین,عبد الحسين
Abdol Jalil,Abdul Jalil,Abdol Jalil,عبدالجلیل,عبد الجليل
Abdol Karim,Abdul Karim,Abdol Karim,عبدالکریم,عبد الكريم
Abdol Majid,Abdul Majid,Abdol Majid,عبدالمجید,عبد المجيد
Abdol Malek,Abdullah Malek,Abdol Malek,عبدالملک,عبد الملك
Abdol Mohammad,Abdul Mohamed,Abdol Mohammad,عبدالمحمد,عبد محمد
Abdol Reza,Abdul Reza,Abdol Reza,عبدالرضا,عبد الرضا
Abdol Salam,Abdol Salam,Abdol Salam,عبدالسلام,عبد السلام
Abdol Vahed,Abdul Vahed,Abdol Vahed,عبدالواحد,عبد الواحد
Abdolamir,Abdolamir,Abdolamir,عبدالامیر,عبد الأمير
Abdolhamid,Abdulhamid,Abdolhamid,عبدالحمید,عبد الحميد
Abdolhasan,Abdolhasan,Abdolhasan,عبدالحسن,عبد الحسن
Abdolkhalegh,Abdolkhalegh,Abdolkhalegh,عبدالخالق,عبد الخالق
Abdollah,Abdollah,Abdollah,عبدالله,عبدالله
Abdollah Gol,Abdollah Gol,Abdollah Gol,عبدالله گل,عبد الله جول
