x,fa,ar
Abbas,عباس,عباس
Abbas Abdi,عباس عبدی,عباس عبدي
Abbas Agha,عباس آقا,عباس آغا
Abbas Ali,عباس علی,عباس علي
Abd Hoseyn,عبدحسین,عبدحسین
Abdali,عبدعلی,عبدعلی
Abdelaziz Hakim,عبداعزیز حکیم,عبداعزیز حکیم
Abdi,عبدی,عبدی
Abdol Ali,عبدالعلی,عبدالعلی
Abdol Hoseyn,عبدالحسین,عبدالحسین
Abdol Jalil,عبدالجلیل,عبدالجلیل
Abdol Karim,عبدالکریم,عبدالکریم
Abdol Majid,عبدالمجید,عبدالمجید
Abdol Malek,عبدالملک,عبدالملک
Abdol Mohammad,عبدالمحمد,عبدالمحمد
Abdol Reza,عبدالرضا,عبدالرضا
Abdol Salam,عبدالسلام,عبدالسلام
Abdol Vahed,عبدالواحد,عبدالواحد
Abdolamir,عبدالامیر,عبدالامیر
Abdolhamid,عبدالحمید,عبدالحمید
Abdolhasan,عبدالحسن,عبدالحسن
Abdollah,عبدالله,عبدالله
Abdollah Gol,عبدالله گل,عبدالله گل
Abdul Ali,عبدالعلی,عبدالعلی
Abdullah,عبدالله,عبدالله
Abolhasan,ابوالحسن,ابوالحسن
Abu-Ali,ابوعلی,ابوعلی
Ahmad Ali,احمدعلی,احمدعلی
Ahmad Reza,احمدرضا,احمدرضا
Ahmed,احمد,احمد
Ahmed Chalabi,احمد چلابی,احمد چلابی
Ahmed Shah Masood,احمد شاه مسعود,احمد شاه مسعود
Ahmedinejad,احمدی نژاد,احمدی نژاد
Ali,علی,علی
Ali Abbas,علیعباس,علیعباس
Ali Akbar,علیاکبر,علیاکبر
Ali Asghar,علیاصغر,علیاصغر
Ali Ashraf,علیاشرف,علیاشرف
Ali Baba,علیبابا,علیبابا
Ali Hasan,علیحسن,علیحسن
Ali Karam,علیکرم,علیکرم
Ali Mohammad,علیمحمد,علیمحمد
Ali Panah,علیپناه,علیپناه
Ali Shamkhani,علی شمخانی,علی شمخانی
Alidad,علیداد,علیداد
Alimorad,علیمراد,علیمراد
Alireza,علیرضا,علیرضا
Allah Akbar,الله اکبر,الله اکبر
Allahbakhsh,اللهبخش,اللهبخش
Allahbedasht,اللهبهداشت,اللهبهداشت
Allahyar,اللهیار,اللهیار
Amir Ali,امیرعلی,امیرعلی
Amir Hasan,امیرحسن,امیرحسن
Amir Hoseyn,امیرحسین,امیرحسین
Amir Mansur,امیرمنصور,امیرمنصور
Amir Mehdi,امیرمهدی,امیرمهدی
Amir Reza,امیررضا,امیررضا
Anadiplosis,ردالعجز علی الصدر,ردالعجز علی الصدر
Ata Muhammad,عطا محمد,عطا محمد
Atabak,اتابک,أتابك
Ataollah,عطاالله,عطا الله
Ataturk,آتاتورک,أتاتورك
Atefeh,عاطفه,عاطفة
Avicenna,بو علی سینا,بو علی سینا
Epizeuxis,ردالعجز علی الصدر,ردالعجز علی الصدر
Ghazi Mohammad El Ghasibi,قاضی محمد ال قصیبی,قاضی محمد ال قصیبی
Ghol Mohammed,گل محمد,گل محمد
Gholam Mohammad,غلاممحمد,غلاممحمد
Golmohammad,گلمحمد,گلمحمد
Hasan Mohammad,حسنمحمد,حسنمحمد
Imam Ali Rahmanev,امام علی رحمانف,امام علی رحمانف
Jafar,جعفر,جعفر
Jahad,جهاد,نعم
Jahan,جهان,جهان
Jahanbxsh,جهانبخش,جهانبكسش
Jahandar,جهاندار,جهاندار
Jahangir,جهانگیر,جهانجير
Jahanpur,جهانپور,جهانبور
Jahanshah,جهانشاه,جهانشاه
Jahanshir,جهانشیر,جهانشير
Jalal,جلال,على الأقدام
Jalal Abad,جلال آباد,جلال آباد
Jalal Talebani,جلال طالبانی,جلال طالباني
Jalap,ژالاپ,جالاب
Jalil,جلیل,جليل
Jalili,جلیلی,جليلي
Mohammad,محمد,محمد
Mohammad Akram,محمداکرم,محمداکرم
Mohammad Bagher Hakim,محمد باقر حکیم,محمد باقر حکیم
Mohammad El Rahmi,محمد الرمحی,محمد الرمحی
Mohammad Elbaradei,محمد البرادعی,محمد البرادعی
Mohammad Ghasim Fahim,محمد قسیم فهیم,محمد قسیم فهیم
Mohammad Khatami,محمد خاتمی,محمد خاتمی
Mohammad Nasim,محمد نسیم,محمد نسیم
Mohammad Rafigh Tarer,محمد رفیق تارر,محمد رفیق تارر
Mohammad Reza,محمدرضا,محمدرضا
Mohammad Reza Nemat Zadeh,محمد رضا نعمت زاده,محمد رضا نعمت زاده
Mohammad Saidee Kia,محمد سعیدی کیا,محمد سعیدی کیا
Mohammed,محمد,محمد
Mohammed Ali,محمدعلی,محمدعلی
Muhammad Ali,محمد علی,محمد علی
Muhammad Ali Clay,محمد علی کلی,محمد علی کلی
Oh Mohammad,یا محمد,یا محمد
Rad Mohammad,رادمحمد,رادمحمد
Salamat,سلامت,سلامت
Seyed @Ly X|Mnh |Y,سید علی خامنه ای,سید علی خامنه ای
Sharif Ali Ben Al Hossein,شریف علی بن الحسین,شریف علی بن الحسین
Shokrollah,شکرالله,شکرالله
Sickliness,علیلی,علیلی
Soltan Ali,سلطانعلی,سلطانعلی
Subbing,علی البدل,علی البدل
Substitutionary,علی البدلی,علی البدلی
Valiollah,ولی الله,ولی الله
Wiggler,علی ورجه,علی ورجه
Yadollah,یدالله,یدالله
Yah Muhammad,یامحمد,یامحمد
Yasir Arafat,یاسرعرفات,ياسر عرفات
Yarmohammad,یارمحمد,یارمحمد
Zabihollah,ذبیحالله,ذبیحالله
