en,es,de,fa,ar
(filtered from _MAX_ total entries),(filtrado del total de _MAX_ entradas),(gefiltert aus _MAX_ Gesamteinträgen),(فیلتر شده از مجموع ورودی های _MAX_),(مُرشَّح من _MAX_ إدخال)
<0> <1> successfully!,¡El <0> se <1> correctamente!,Die <0> wurde <1> gefunden!,<0> مورد نظر با موفقیت <1> شد!,تم <1> على <0> بنجاح!
<0> added successfully!,¡El <0> se agregó correctamente!,Die <0> wurde erfolgreich hinzugefügt!,<0> مورد نظر با موفقیت اضافه شد!,تمت إضافة <0> بنجاح!
<0> found successfully!,¡El <0> se encontró correctamente!,Die <0> wurde erfolgreich gefunden!,<0> مورد نظر با موفقیت یافت شد!,تم العثور على <0> بنجاح!
<0> is <1> successfully!,¡El <0> se <1> correctamente!,Die <0> wurde <1> gefunden!,<0> مورد نظر با موفقیت <1> شد!,تم <1> على <0> بنجاح!
<0> modified successfully!,¡El <0> se actualizó correctamente!,Die <0> wurde erfolgreich aktualisiert!,<0> مورد نظر با موفقیت بروزرسانی شد!,تم تحديث <0> بنجاح!
<0> remains to <0> again,<0> permanece para <1> de nuevo,<0> bleibt weiterhin <1>,<0> تا <1> مجدد باقی مانده است,"<0> يبقى على حاله ليعود <1> مرة أخرى،"
<0> remains to send again,<0> queda por enviar nuevamente,<0> bleibt zum erneuten Senden übrig,<0> باقی مانده تا امکان ارسال مجدد,<0> يبقى أن نرسل مرة أخرى
<0> removed successfully!,¡El <0> se eliminó correctamente!,Die <0> wurde erfolgreich entfernt!,<0> مورد نظر با موفقیت حذف شد!,تمت إزالة <0> بنجاح!
<0> updated successfully!,¡El <0> se actualizó correctamente!,Die <0> wurde erfolgreich aktualisiert!,<0> مورد نظر با موفقیت بروزرسانی شد!,تم تحديث <0> بنجاح!
<0>a seq<1>uence-<0>base<1>d framework,un marco basado en secuencias,ein sequenzbasiertes Framework,چارچوب توسعه برپایه دنباله ها,إطار عمل قائم على التسلسل
